Clade.age	Number.of.locations
26.3446293583	2
25.1959628401	2
23.3616241116	2
14.6556907271	1
7.29196906237	1
6.86564764795	1
31.8526337046	1
16.0885919655	1
69.7602577442	4
58.1091569679	3
30.9250655032	3
23.6705848091	2
23.2186605018	2
13.2944069823	1
6.43823421553	1
4.57452191253	1
30.8399435989	3
28.3514286452	2
25.28544138	1
15.0187199351	1
7.7253917759	1
11.4165686396	1
10.0057349924	1
9.91730302577	1
29.7693411549	3
29.685656371	2
15.1256540733	1
3.0905997063	1
64.1780906716	2
16.6704995207	1
66.390385704	7
61.6364139867	6
43.2926350117	6
41.8050374285	4
35.8988979521	3
30.5648717389	3
28.8116878577	1
28.0666946575	1
15.6406192961	1
29.2853353315	3
27.8287621301	2
25.5530456412	2
13.0168898624	1
29.2357736872	2
26.3286253029	2
39.4325574264	5
39.1800426524	5
31.869158916	4
20.0216600034	2
14.6878653933	2
11.4359456472	1
29.7351355673	3
15.1942907746	2
10.5187797324	1
33.0302979516	2
4.64474099731	1
25.7416817377	2
19.5034213866	1
15.8788570851	1
10.1831003616	1
44.4516253758	4
42.1437025887	3
28.8880302494	3
28.6012352105	3
28.1235139112	2
27.9558876351	2
25.6783714508	1
19.708823666	2
26.981829694	2
25.592196873	2
8.79452492272	1
8.36463099257	1
7.83455415604	1
25.8912758222	1
22.5228832375	1
12.0004306308	1
11.3986536887	1
9.92835706822	1
9.38858833264	1
9.14172189873	1
7.56959662587	1
11.0532122627	1
9.58503021811	1
7.7092475198	1
10.0490376219	1
8.48894539676	1
9.86548126252	1
34.4770254729	1
25.8089289123	1
54.2706670175	4
29.6763473359	3
28.6481535926	3
28.0719384423	3
20.6821228697	2
18.8614207494	1
13.5585013578	1
5.5882974652	1
5.01939908815	1
28.3947182116	2
25.0368845026	2
22.6647287421	1
13.9538697218	1
10.2009792339	1
11.9492208016	1
11.7994921333	1
10.7022861753	1
3.72344310954	1
24.8163779875	1
53.9467258209	3
52.6335419566	2
14.5259444006	1
83.2980732194	7
49.6790174701	6
47.3292333065	5
46.9697261464	5
40.8895597924	3
33.2166446675	3
33.005060232	3
32.3050452005	3
29.5894892735	3
27.8026229219	3
17.2380583505	2
13.1655143641	1
9.16415077959	1
37.8381425223	2
46.4909446662	3
32.2211027466	2
35.8765525673	2
4.67568842115	1
37.4371854347	2
18.7919897963	1
15.6727450054	1
10.3461383171	1
35.6972524884	4
13.492582472	2
11.4458138294	2
11.1226899453	1
34.4445534964	3
18.5906682488	2
10.5537574645	1
80.8022442799	5
55.0040497678	4
54.2813715804	4
53.2757915988	3
31.4920881775	3
30.9693918198	3
30.3085278873	2
26.7285744146	2
13.0817664803	1
10.6954621272	1
6.15570662809	1
5.80229226359	1
26.3885919441	2
24.0512842942	1
13.964642309	1
8.17560130873	1
9.73097842772	1
9.54934205785	1
8.46315776195	1
30.9187597405	2
3.15279276252	1
30.7689530974	1
13.965349302	1
56.986458651	4
52.5463438517	3
33.7691295302	3
31.5275985137	2
30.8587575619	2
30.1552107728	2
28.9494024356	2
27.5156606644	1
21.2819850747	2
30.4772525324	1
13.9048533189	1
12.3392990418	1
11.687085402	1
9.60940745137	1
8.95828847383	1
8.80943260317	1
8.79159345798	1
10.2307445002	1
9.2590799822	1
7.69995321457	1
8.63021333272	1
5.96188969546	1
28.9554062424	2
21.9147308208	2
9.90190302813	1
8.38449068687	1
6.15559128935	1
22.4720286812	1
17.8578520359	1
62.3114583575	7
33.5693336785	6
32.4637149787	5
30.4148811721	3
26.6210788486	3
25.330386279	1
22.4656857751	1
9.31371471096	1
25.7580235286	3
25.3959486818	2
21.9726844329	2
14.7016816763	1
24.841023627	2
31.7010572116	5
31.3871793254	4
25.3768692414	4
10.5112084532	2
10.074152927	2
